Year,est,lwr,upr,log_est,se,type
2013,388980.332000028,191927.930993595,788346.427221688,12.8712840609111,0.360419296143501,index
2014,463997.192661434,244571.514830189,880288.102836402,13.0476337808915,0.326725769769567,index
2015,744392.372041637,413077.238100857,1341444.0507576,13.5203235565747,0.300481891284315,index
2016,672365.93832744,376725.965025098,1200012.73337457,13.4185580223737,0.295558851102917,index
2017,396798.165719629,196133.536436728,802763.19480557,12.8911830316998,0.359512737315428,index
2018,534676.067279588,269530.105361285,1060655.1596096,13.1894163607797,0.349486518571402,index
2019,1172926.26716943,510844.531059239,2693101.21684845,13.9750122673219,0.424085184976137,index
2021,442507.904958689,232347.196257443,842761.389442226,13.000213607584,0.328692539821186,index
2022,555443.754765641,257007.880623935,1200421.41882641,13.2275226313885,0.393201410920719,index
2023,547963.929255983,261555.714328705,1147994.29458575,13.2139647412382,0.377334558477431,index
2024,386159.942388081,165805.613039718,899363.407374184,12.8640069211425,0.431352592404943,index
2003,407927.512244342,205226.487965378,810835.174813939,12.918844771534,0.350504044641986,index
2004,788585.695667054,343801.844495895,1808795.99503753,13.5779963613657,0.423566775191616,index
2005,423599.940992422,227818.198691768,787632.028693006,12.9565447534091,0.31645557907989,index
2006,360911.18980161,161344.887348627,807319.581453864,12.7963871954193,0.410766570970738,index
2007,397352.535423028,212120.881477871,744335.193721038,12.8925791641785,0.320244444451423,index
2008,277335.241041578,132832.116300553,579037.947039546,12.5329823098673,0.375589035959473,index
2009,423260.389279481,211295.089085567,847863.326631644,12.9557428461312,0.354461556287955,index
2010,574920.940560428,294228.108507153,1123393.98697134,13.2619878156487,0.341780357279263,index
2011,570593.947741506,292417.398786335,1113399.73117376,13.254433110873,0.341075452245693,index
2012,447419.069725129,203866.1737128,981937.416629565,13.0112509505655,0.401044055105373,index
2013,629595.577436626,288937.158040225,1371892.05367824,13.3528329516589,0.397389166627734,index
2014,489920.509671006,262715.393062182,913620.260307654,13.1019984317657,0.317950670079438,index
2015,524555.091794263,285975.99981053,962171.806408895,13.1703057380885,0.309517202019659,index
2016,436710.908025605,225091.765101155,847282.960808636,12.9870267174663,0.338150741421579,index
2017,417142.563637363,195897.06443798,888262.000746015,12.9411833215798,0.385639077413718,index
2018,755447.276726632,358887.734673226,1590192.51085111,13.5350652723255,0.379752065048014,index
2019,196810.018557374,71211.1554817397,543934.207253333,12.1899941696083,0.518677595295301,index
2021,278290.446487506,128740.81179094,601561.940839533,12.5364206188166,0.393305271754105,index
2022,369025.191995941,165053.299695293,825064.343330573,12.818620191684,0.410515942565266,index
2023,733092.576277525,350563.101748621,1533032.77701654,13.5050272706804,0.376400420480814,index
2024,430226.75401877,170140.977859665,1087892.30085533,12.9720676836049,0.473317385945089,index
2003,305398.181489878,148888.646067701,626428.218139041,12.6293717172299,0.366546405544027,index
2004,485271.895350023,234527.877496401,1004097.31640631,13.0924646218062,0.370994001500732,index
2005,547823.493084665,271175.882204045,1106700.85088786,13.2137084211359,0.358774715002286,index
2006,316619.0242798,141121.247117059,710365.0838115,12.6654545139472,0.412293191017239,index
2007,402741.750110734,207215.899166186,782762.895776512,12.906050816933,0.339054340959153,index
2008,347192.316290675,182867.592921962,659179.150144581,12.7576341310242,0.3271062642384,index
2009,332607.31142135,178289.812397503,620493.241443828,12.7147178281252,0.318144704825045,index
2010,556280.823248043,293194.68125434,1055436.45263156,13.2290285235081,0.326759277243249,index
2011,506327.895107862,265083.502976578,967121.433380971,13.1349397524463,0.330179328113095,index
2012,640617.14359091,343163.81930933,1195902.07816357,13.3701872775707,0.318487514591444,index
2013,627785.417510713,301721.323501664,1306220.34221896,13.3499536951984,0.373830642040919,index
2014,742687.329875892,371736.992816738,1483803.01292776,13.5180304139668,0.353112886142917,index
2015,531649.487616769,275689.898971761,1025250.39450983,13.1837396933183,0.335061123525588,index
2016,757195.821418951,388184.960327237,1476990.53433444,13.5373771798379,0.340894005305529,index
2017,415843.258778129,218481.710665187,791487.833671412,12.93806368646,0.328376493431375,index
2018,638016.794992371,320687.559705893,1269352.11040198,13.3661198864199,0.350974455643432,index
2019,656388.34769414,268191.346404659,1606486.07333722,13.3945078862034,0.456667525225189,index
2021,256330.06430352,121119.536224576,542481.451910604,12.4542212066962,0.382500889303579,index
2022,274153.653448052,125642.772794057,598205.722681006,12.5214440071999,0.398092000969396,index
2023,603646.885753533,310102.275514287,1175062.524374,13.3107446797205,0.339846671628332,index
2024,839697.78971402,396906.943872374,1776467.73112978,13.6407973319353,0.382323452858617,index
2003,514071.990098025,270139.880347459,978271.000429241,13.1501185931865,0.328283284323062,index
2004,919211.818115629,437169.514832484,1932775.13160361,13.7312718623919,0.379188374683006,index
2005,596216.43152206,317198.060800551,1120668.99879447,13.2983590202657,0.321984164000355,index
2006,291212.226203527,124797.132620373,679539.336439611,12.5818075800123,0.432335914251998,index
2007,800615.797169706,437246.347232601,1465959.99883036,13.5931364570093,0.308620170008705,index
2008,919688.740352179,528801.270575509,1599518.43196224,13.731790566076,0.282363655746811,index
2009,1235310.42231055,687195.391061081,2220608.37327914,14.0268328505577,0.299219226675425,index
2010,689473.134919403,393661.579965267,1207568.19554891,13.4436830123228,0.285942053862717,index
2011,862512.668510918,457433.034350921,1626310.40496983,13.6676051159084,0.323587239832128,index
