"Year","est","lwr","upr","log_est","se","type","effort","replicate"
2019,1639226.83450542,949743.342370871,2829253.43625455,14.3097352462617,0.278468476674528,"index",0.1,2
2021,2446434.54127614,1590721.41088079,3762470.23759809,14.7101422332839,0.219618343932031,"index",0.1,2
2022,3740419.50239007,2313224.96781215,6048152.79470738,15.134708329515,0.245185694468426,"index",0.1,2
2023,2740507.29188951,1731544.17000161,4337388.75797351,14.8236536042528,0.234254024921095,"index",0.1,2
2024,4403266.35299601,2882226.49891719,6727005.86949389,15.2978571764345,0.216220061411002,"index",0.1,2
2003,2054789.86962325,1294210.3318608,3262345.62061929,14.5356841474596,0.235857835312217,"index",0.1,3
2004,3602157.28484749,2114953.46438172,6135140.71269323,15.0970434697412,0.271688717944557,"index",0.1,3
2005,2170142.52534472,1385391.60539844,3399413.25034599,14.5903034032422,0.228988900594202,"index",0.1,3
2006,2409441.85055779,1480440.03585223,3921408.42629766,14.6949056813651,0.248502402154409,"index",0.1,3
2007,1822161.15389369,1116383.85478047,2974130.49870028,14.4155338017895,0.249968105012846,"index",0.1,3
2008,1025152.906641,615404.379905363,1707720.18580061,13.8403523366396,0.2603708443889,"index",0.1,3
2009,1004720.22681681,623416.56507528,1619242.71943739,13.8202196794432,0.243499097483549,"index",0.1,3
2010,1811536.38283402,1159001.54528371,2831457.88690736,14.4096858734843,0.227869706482202,"index",0.1,3
2011,1797666.59271852,1140219.91326902,2834194.65049614,14.4020000445156,0.232284031729031,"index",0.1,3
2012,1647178.71074244,1000280.35243903,2712437.26671968,14.3145745100993,0.254486124705244,"index",0.1,3
2013,1675839.94375939,978551.905714334,2869995.45011294,14.3318250565136,0.274492771366251,"index",0.1,3
2014,1093524.1339754,683371.112418871,1749847.20579423,13.904916189249,0.239863000326742,"index",0.1,3
2015,1615721.37778143,1025959.1823313,2544502.36966341,14.2952920884588,0.231715261822405,"index",0.1,3
2016,1340420.99809136,810486.490927472,2216851.81953888,14.1084943002637,0.256690608496836,"index",0.1,3
2017,1811205.82656244,1122719.24179863,2921893.93754253,14.4095033839483,0.244004069748293,"index",0.1,3
2018,2359958.5309722,1497859.66961397,3718241.6890521,14.6741546052255,0.231946529954372,"index",0.1,3
2019,2229333.05551205,1292691.41807041,3844634.38290422,14.6172130204578,0.278054112866348,"index",0.1,3
2021,2778991.4529177,1776569.77838623,4347025.1432537,14.8375986331235,0.228271368457299,"index",0.1,3
2022,3764659.81728045,2390334.76773793,5929154.24698365,15.141168061158,0.231751236481299,"index",0.1,3
2023,4576727.34000897,2912212.72433384,7192617.82278526,15.3364947460914,0.230652712543599,"index",0.1,3
2024,4146094.75362315,2637447.86625578,6517702.93773622,15.2376774259432,0.230797677553652,"index",0.1,3
2003,3242427.29261275,1973198.520621,5328067.41846293,14.9918327716716,0.253405867140295,"index",0.1,4
2004,3492161.52475702,1973126.13431289,6180644.96887327,15.0660314505297,0.291281748979689,"index",0.1,4
2005,2757252.93289586,1658201.89304151,4584751.57208886,14.8297454278711,0.259444079378056,"index",0.1,4
2006,2742169.47937233,1561566.8594591,4815351.58616631,14.824259945864,0.287280622531711,"index",0.1,4
2007,2079861.53539405,1244739.99718366,3475283.20468472,14.5478118799396,0.26193065562487,"index",0.1,4
2008,1951122.49902528,1164621.00815454,3268770.6812322,14.4839154054483,0.263274801145178,"index",0.1,4
2009,1342958.65382418,790544.231912847,2281387.77449215,14.1103856886012,0.270366600797689,"index",0.1,4
2010,1443322.96364653,870820.763123514,2392204.30380796,14.1824586267442,0.25779411200283,"index",0.1,4
2011,1610233.81695621,1000837.34654812,2590683.64526173,14.2918899543392,0.242628131923276,"index",0.1,4
2012,1121299.76001862,656306.491747518,1915740.84307777,13.9299990704283,0.273278439199489,"index",0.1,4
2013,1622641.15033056,906200.384517455,2905498.99087509,14.2995657193577,0.297224841078299,"index",0.1,4
2014,1731874.45911492,1051551.54922087,2852346.27285456,14.3647148822875,0.254564669983062,"index",0.1,4
2015,2023126.90356063,1182351.39422763,3461781.74093885,14.5201548445633,0.274055609282971,"index",0.1,4
2016,1589707.251624,930305.072649581,2716495.07259847,14.2790604387691,0.273368590724401,"index",0.1,4
2017,2518287.68466079,1515662.88764372,4184157.9116404,14.7390897383155,0.259048784310274,"index",0.1,4
2018,3237211.05596081,1941785.229295,5396856.08003089,14.9902227318829,0.260772344151671,"index",0.1,4
2019,1798028.64891205,894406.491598232,3614583.58439633,14.4022014276532,0.356274805943599,"index",0.1,4
2021,2907013.61409374,1772720.41775733,4767095.85328596,14.8826368627408,0.252357177387058,"index",0.1,4
2022,3440197.42646553,2079251.6365576,5691931.71474614,15.0510394191172,0.25690309937728,"index",0.1,4
2023,3849964.6866631,2318160.33815577,6393961.5584765,15.1635745339266,0.258826216468401,"index",0.1,4
2024,3520565.55559274,2156756.40992182,5746769.44239396,15.0741322038708,0.250012866957468,"index",0.1,4
2003,2597763.03800922,1507119.31347071,4477663.27544846,14.7701612626646,0.277786030582163,"index",0.1,5
2004,3240478.46825237,1841674.95119886,5701712.28987596,14.9912315522521,0.288293836841255,"index",0.1,5
2005,3250393.71162948,1973502.02564539,5353457.53047573,14.9942866890087,0.254579416987826,"index",0.1,5
2006,3572516.37298657,2155916.77772013,5919928.52746097,15.088780771837,0.257685429870196,"index",0.1,5
2007,2774895.48487049,1621314.75980406,4749259.76303651,14.8361236413437,0.274176304973438,"index",0.1,5
2008,1633300.40038747,996234.252149569,2677753.94406473,14.3061133111814,0.252237088664125,"index",0.1,5
2009,1480022.32823531,843977.991304753,2595406.6511719,14.207567732272,0.286579773974177,"index",0.1,5
2010,1759458.71412324,1039738.10408317,2977379.54831805,14.3805167709179,0.268391337116059,"index",0.1,5
2011,1773337.15482135,1085318.81115835,2897512.35520698,14.3883737276218,0.250509394320568,"index",0.1,5
2012,1553812.1019484,957369.519931701,2521839.26675831,14.2562218900821,0.247084729496412,"index",0.1,5
2013,1710888.0552212,906164.107563067,3230251.4666692,14.3525231242121,0.324264846919315,"index",0.1,5
2014,1763578.74866166,1051135.34854709,2958905.34651893,14.3828556824169,0.264022331125104,"index",0.1,5
2015,2052401.79387074,1206565.16678794,3491194.0435822,14.5345212720852,0.27104227455259,"index",0.1,5
2016,1821949.58579851,1134253.3515165,2926595.09337413,14.4154176867148,0.241806756706121,"index",0.1,5
2017,2576459.23127586,1524525.15228159,4354235.91437113,14.7619266233285,0.267725878375482,"index",0.1,5
2018,2780076.07768988,1721241.71387469,4490260.10434362,14.8379888513679,0.244612829701115,"index",0.1,5
2019,2513732.10912617,1329805.31161166,4751709.9392495,14.7372791028388,0.324871273464779,"index",0.1,5
2021,3211831.99109129,1979588.97006702,5211114.47627849,14.9823520460467,0.246918953418789,"index",0.1,5
2022,4782309.16919862,2928150.13359155,7810556.13488957,15.3804340776078,0.250286563219893,"index",0.1,5
2023,5478401.63076092,3355940.54178691,8943211.01766099,15.5163239431605,0.250046081255727,"index",0.1,5
2024,3670352.880123,2234297.95503995,6029406.34405509,15.1157983680305,0.253249931802893,"index",0.1,5
2003,2468129.21252749,1510878.74423119,4031866.77487564,14.7189710177939,0.250396962555998,"index",0.1,6
2004,2828339.54658797,1478197.60820768,5411661.16517592,14.85520036477,0.33106031467944,"index",0.1,6
2005,2334083.33630386,1470944.49598372,3703705.36460515,14.6631297965485,0.23557296638346,"index",0.1,6
2006,2636420.61212426,1538022.66946141,4519253.05266645,14.7849327264143,0.274966561709472,"index",0.1,6
2007,2027000.72413024,1226657.41313112,3349534.99782529,14.5220677826764,0.256262007278082,"index",0.1,6
2008,1637517.25795184,1004672.52910964,2668991.82808,14.3086917856432,0.249249264170763,"index",0.1,6
2009,1403740.89107264,863776.195966732,2281248.89117147,14.1546512960183,0.247750631166143,"index",0.1,6
2010,1465371.53535498,907520.872198584,2366131.51543995,14.1976193760311,0.244467518426908,"index",0.1,6
2011,1741815.82155622,1069482.57102369,2836813.27627391,14.3704387026513,0.248858242041593,"index",0.1,6
2012,1503449.36261936,907669.653358319,2490289.25622595,14.2232726011757,0.257472500340749,"index",0.1,6
2013,2065804.21278017,1223468.43833328,3488072.85241777,14.5410301578498,0.267265009287239,"index",0.1,6
2014,1598984.77239045,973235.349627873,2627064.77247683,14.2848794685628,0.253320091675489,"index",0.1,6
2015,1899614.19499449,1132957.088448,3185058.04555032,14.4571613682521,0.263688367393188,"index",0.1,6
2016,1933032.39719831,1167215.61733732,3201305.90536672,14.4746005181112,0.257386801908977,"index",0.1,6
2017,1664975.59238752,1009702.65208667,2745505.04301163,14.3253210220625,0.255185597495742,"index",0.1,6
2018,2275156.65674883,1386531.28646869,3733300.40458875,14.6375594681058,0.252680030428862,"index",0.1,6
2019,1714266.5050419,814936.144152019,3606061.24957981,14.354495853242,0.379410448706161,"index",0.1,6
2021,3154270.1876843,1989545.76903222,5000850.23012748,14.964267707923,0.235132276755988,"index",0.1,6
2022,5118213.10455018,3212073.15884227,8155513.30500551,15.4483159330824,0.237702736500466,"index",0.1,6
2023,4470728.77509777,2767906.30221892,7221131.64179876,15.3130619902353,0.244627069285404,"index",0.1,6
2024,4265445.94062837,2659196.62191754,6841926.96488285,15.2660572916199,0.241087429178551,"index",0.1,6
2003,2398639.92934868,1496503.22172432,3844611.50978111,14.6904124385805,0.240703749247291,"index",0.1,7
2004,2343985.95435588,1391377.95082105,3948797.77344141,14.6673634374921,0.266106059099997,"index",0.1,7
2005,2466766.15010861,1547937.37558651,3930995.7465276,14.7184185998181,0.237751676167391,"index",0.1,7
2006,2243726.01461753,1374722.56980415,3662052.64920373,14.6236484412975,0.249946398939893,"index",0.1,7
2007,1745861.44998275,1062781.59676993,2867976.08445577,14.3727586594168,0.253248777228604,"index",0.1,7
2008,1330636.01355061,820390.539270008,2158230.88615008,14.1011675915712,0.24675546189749,"index",0.1,7
2009,1381475.82619263,854068.496097359,2234569.55393546,14.1386629249606,0.245359737728092,"index",0.1,7
2010,1612239.43584165,1008206.3684218,2578158.67851723,14.2931347244192,0.239520364091396,"index",0.1,7
2011,1295972.71459887,786673.078147795,2134997.78197472,14.0747721021225,0.254700631017604,"index",0.1,7
2012,1791091.76095611,1065916.71359619,3009625.10039053,14.3983359142118,0.264795765373539,"index",0.1,7
2013,1848818.87066047,1095474.85283387,3120227.91547239,14.430057544868,0.267024836276979,"index",0.1,7
2014,1345039.42572337,844629.965212684,2141921.47006612,14.1119338833939,0.237392109052323,"index",0.1,7
2015,2093984.41853291,1314002.69193124,3336957.20106489,14.5545792293787,0.237754727319406,"index",0.1,7
2016,2761002.54336751,1695205.44116173,4496879.76417635,14.8311044120881,0.248876979504949,"index",0.1,7
2017,3025939.16403518,1894218.16426046,4833819.03795474,14.9227320687117,0.238991807639477,"index",0.1,7
2018,3087508.22702787,1898974.66006787,5019923.25249043,14.9428749245392,0.24798939291599,"index",0.1,7
2019,2656361.26045872,1404811.25737154,5022920.41656074,14.792467797068,0.325033667331301,"index",0.1,7
2021,2881687.206287,1876844.56010329,4424511.93423348,14.8738865160938,0.218771375535969,"index",0.1,7
2022,6317334.01495214,3929820.26329379,10155352.2508995,15.6588078440492,0.242200162617732,"index",0.1,7
2023,4439546.88984451,2771141.38233919,7112439.91834537,15.3060628773639,0.240460047430356,"index",0.1,7
2024,2333973.74314599,1469211.52218661,3707725.77769302,14.6630828420421,0.236150465164617,"index",0.1,7
2003,2413353.16587579,1483184.05617754,3926871.7048193,14.6965276935644,0.248385160788178,"index",0.1,8
2004,2670789.43238782,1575640.57554227,4527121.41517396,14.7978846542364,0.269245861767355,"index",0.1,8
2005,3136765.5428535,1925768.21112693,5109284.70725727,14.9587027450917,0.248916425060942,"index",0.1,8
2006,2604907.46744486,1587296.26460451,4274906.37082845,14.7729077114043,0.252741913145155,"index",0.1,8
2007,2637714.73731823,1564266.78833679,4447795.66205802,14.785423470445,0.266584339430829,"index",0.1,8
2008,1319081.28287832,768864.506941329,2263045.58882792,14.0924460544242,0.275400986728563,"index",0.1,8
2009,845240.314184667,514313.46555178,1389096.79908248,13.6473762613914,0.25346794716621,"index",0.1,8
2010,1338928.50273657,845228.890797808,2120998.88557788,14.1073802272332,0.234707109170931,"index",0.1,8
2011,1888901.7809844,1186244.61310776,3007769.13865905,14.451506149888,0.237352862487241,"index",0.1,8
2012,1765885.41236842,1078107.32788149,2892431.21623449,14.3841627726323,0.251762373690141,"index",0.1,8
2013,1466966.14034039,910380.108889201,2363836.4194171,14.1987069759729,0.243417474188418,"index",0.1,8
2014,1363637.98442408,822161.821524951,2261730.60324688,14.1256666748451,0.258154823763999,"index",0.1,8
2015,1622872.63819155,1006307.06556125,2617208.69297672,14.2997083703378,0.243836395405134,"index",0.1,8
2016,2154106.45540375,1378519.44184334,3366056.71299588,14.5828865576702,0.227741911699549,"index",0.1,8
2017,1954185.08420196,1231173.49378886,3101788.14162509,14.4854838277757,0.235721420855869,"index",0.1,8
2018,1962183.04626728,1221111.9515362,3152996.98951853,14.4895682105086,0.241992086058847,"index",0.1,8
2019,1659070.17663445,913823.87691879,3012083.5321996,14.3217678688412,0.304278413539375,"index",0.1,8
2021,3708389.52709683,2359657.23848967,5828029.8766967,15.1261082506081,0.230657974150752,"index",0.1,8
2022,4405720.35317786,2755756.69307361,7043572.41667678,15.2984143347836,0.239398128687793,"index",0.1,8
2023,4251580.68964214,2673249.08686118,6761786.04133067,15.2628013987275,0.236737116269685,"index",0.1,8
2024,4202473.43729064,2655292.1587964,6651163.7646453,15.2511838235526,0.234248475784284,"index",0.1,8
2003,3760354.34936093,2354471.68842914,6005706.03683572,15.1400237527769,0.238880322458956,"index",0.1,9
2004,4345468.38672477,2456287.86335448,7687655.74334449,15.2846441098878,0.291067766959311,"index",0.1,9
2005,3497835.66188781,2157981.36412615,5669582.93568419,15.0676549528647,0.246418387086071,"index",0.1,9
